date,open,high,low,close,volume,symbol
2025-01-03 19:40:00+00:00,315.09,315.15,314.79,314.79,1202.0,V
2025-01-03 19:45:00+00:00,314.8,315.0,314.74,315.0,1441.0,V
2025-01-03 19:50:00+00:00,315.025,315.11,314.83,314.855,986.0,V
2025-01-03 19:55:00+00:00,314.855,314.88,314.81,314.84,895.0,V
2025-01-03 20:00:00+00:00,314.78,314.78,314.43,314.46,1099.0,V
2025-01-03 20:05:00+00:00,314.42,314.715,314.4,314.63,2168.0,V
2025-01-03 20:10:00+00:00,314.63,314.905,314.63,314.795,1433.0,V
2025-01-03 20:15:00+00:00,314.81,314.885,314.72,314.72,536.0,V
2025-01-03 20:20:00+00:00,314.71,314.965,314.62,314.94,533.0,V
2025-01-03 20:25:00+00:00,314.94,315.12,314.94,315.08,2189.0,V
2025-01-03 20:30:00+00:00,315.02,315.075,314.69,314.81,1853.0,V
2025-01-03 20:35:00+00:00,314.76,314.785,314.6,314.66,2268.0,V
2025-01-03 20:40:00+00:00,314.7,314.755,314.575,314.63,1126.0,V
2025-01-03 20:45:00+00:00,314.65,314.67,314.43,314.62,783.0,V
2025-01-03 20:50:00+00:00,314.69,314.755,314.325,314.47,2902.0,V
2025-01-03 20:55:00+00:00,314.545,315.08,314.545,315.015,4489.0,V
2025-01-06 14:30:00+00:00,314.6,315.03,313.925,314.02,2441.0,V
2025-01-06 14:35:00+00:00,313.95,313.95,312.28,312.28,731.0,V
2025-01-06 14:40:00+00:00,312.29,312.85,312.25,312.38,2914.0,V
2025-01-06 14:45:00+00:00,312.43,313.04,312.32,312.865,5755.0,V
2025-01-06 14:50:00+00:00,312.81,313.1,312.59,312.66,2083.0,V
2025-01-06 14:55:00+00:00,312.64,312.93,312.46,312.505,1124.0,V
2025-01-06 15:00:00+00:00,312.51,313.465,312.34,313.43,3800.0,V
2025-01-06 15:05:00+00:00,313.46,313.56,313.21,313.3,2899.0,V
2025-01-06 15:10:00+00:00,313.3,313.44,313.01,313.14,4039.0,V
2025-01-06 15:15:00+00:00,313.14,313.14,312.44,312.44,3622.0,V
2025-01-06 15:20:00+00:00,312.465,312.79,312.31,312.49,8090.0,V
2025-01-06 15:25:00+00:00,312.49,312.805,312.42,312.8,6906.0,V
2025-01-06 15:30:00+00:00,312.74,313.235,312.62,313.12,1679.0,V
2025-01-06 15:35:00+00:00,313.12,313.28,312.68,313.01,2690.0,V
2025-01-06 15:40:00+00:00,313.0,313.18,312.935,313.055,2501.0,V
2025-01-06 15:45:00+00:00,313.06,313.475,313.04,313.35,3749.0,V
2025-01-06 15:50:00+00:00,313.35,314.09,313.26,314.04,7026.0,V
2025-01-06 15:55:00+00:00,314.08,314.405,314.08,314.22,4023.0,V
2025-01-06 16:00:00+00:00,314.285,314.4,314.15,314.36,4008.0,V
2025-01-06 16:05:00+00:00,314.43,314.44,314.17,314.36,1483.0,V
2025-01-06 16:10:00+00:00,314.37,314.5,313.7,313.8,3226.0,V
2025-01-06 16:15:00+00:00,313.775,314.27,313.73,314.16,1886.0,V
2025-01-06 16:20:00+00:00,314.08,314.15,313.885,313.98,3160.0,V
2025-01-06 16:25:00+00:00,314.03,314.055,313.85,313.945,2773.0,V
2025-01-06 16:30:00+00:00,313.96,314.05,313.85,313.88,1371.0,V
2025-01-06 16:35:00+00:00,313.87,314.25,313.855,314.19,2342.0,V
2025-01-06 16:40:00+00:00,314.26,314.35,313.83,313.875,2889.0,V
2025-01-06 16:45:00+00:00,313.83,314.3,313.72,314.285,2292.0,V
2025-01-06 16:50:00+00:00,314.32,314.44,314.235,314.24,2544.0,V
2025-01-06 16:55:00+00:00,314.235,314.55,314.02,314.55,5238.0,V
2025-01-06 17:00:00+00:00,314.51,314.84,314.47,314.84,1387.0,V
2025-01-06 17:05:00+00:00,314.86,315.245,314.86,315.245,3115.0,V
2025-01-06 17:10:00+00:00,315.235,315.37,315.12,315.3,2702.0,V
2025-01-06 17:15:00+00:00,315.29,315.39,315.14,315.27,1229.0,V
2025-01-06 17:20:00+00:00,315.31,315.335,315.11,315.11,2139.0,V
2025-01-06 17:25:00+00:00,315.08,315.08,314.57,314.67,998.0,V
2025-01-06 17:30:00+00:00,314.6,314.745,314.58,314.625,2348.0,V
2025-01-06 17:35:00+00:00,314.63,314.67,314.41,314.43,781.0,V
2025-01-06 17:40:00+00:00,314.5,314.63,314.36,314.52,773.0,V
2025-01-06 17:45:00+00:00,314.42,314.605,314.37,314.37,1609.0,V
2025-01-06 17:50:00+00:00,314.37,314.37,314.03,314.245,1127.0,V
2025-01-06 17:55:00+00:00,314.255,314.265,313.9,314.095,7963.0,V
2025-01-06 18:00:00+00:00,314.09,314.09,313.63,313.885,4680.0,V
2025-01-06 18:05:00+00:00,313.885,313.96,313.72,313.905,2508.0,V
2025-01-06 18:10:00+00:00,313.865,314.07,313.865,314.0,4176.0,V
2025-01-06 18:15:00+00:00,314.03,314.045,313.82,314.025,2419.0,V
2025-01-06 18:20:00+00:00,314.01,314.07,313.84,313.995,2065.0,V
2025-01-06 18:25:00+00:00,313.995,314.02,313.86,313.91,710.0,V
2025-01-06 18:30:00+00:00,313.96,313.98,313.585,313.6,2131.0,V
2025-01-06 18:35:00+00:00,313.6,313.795,313.41,313.45,2017.0,V
2025-01-06 18:40:00+00:00,313.43,313.56,313.16,313.17,2877.0,V
2025-01-06 18:45:00+00:00,313.11,313.11,312.775,312.935,3232.0,V
2025-01-06 18:50:00+00:00,312.97,313.375,312.89,313.26,2931.0,V
2025-01-06 18:55:00+00:00,313.26,313.28,313.07,313.15,2649.0,V
2025-01-06 19:00:00+00:00,313.17,313.205,312.74,312.785,1692.0,V
2025-01-06 19:05:00+00:00,312.77,313.105,312.77,313.06,2309.0,V
2025-01-06 19:10:00+00:00,313.01,313.13,312.85,313.13,1562.0,V
2025-01-06 19:15:00+00:00,313.13,313.41,313.13,313.36,1822.0,V
2025-01-06 19:20:00+00:00,313.32,313.37,313.2,313.37,2266.0,V
2025-01-06 19:25:00+00:00,313.32,313.36,313.07,313.17,1085.0,V
2025-01-06 19:30:00+00:00,313.125,313.265,313.07,313.245,2426.0,V
2025-01-06 19:35:00+00:00,313.245,313.25,312.93,312.93,4256.0,V
2025-01-06 19:40:00+00:00,312.945,312.945,312.695,312.85,3516.0,V
2025-01-06 19:45:00+00:00,312.875,313.185,312.84,313.185,971.0,V
2025-01-06 19:50:00+00:00,313.21,313.225,313.08,313.14,2136.0,V
2025-01-06 19:55:00+00:00,313.11,313.14,312.81,312.94,2641.0,V
2025-01-06 20:00:00+00:00,312.83,313.09,312.83,312.99,2004.0,V
2025-01-06 20:05:00+00:00,312.99,313.04,312.67,312.805,2780.0,V
2025-01-06 20:10:00+00:00,312.82,312.82,312.29,312.3,3263.0,V
2025-01-06 20:15:00+00:00,312.3,312.41,312.12,312.36,5500.0,V
2025-01-06 20:20:00+00:00,312.25,312.77,312.14,312.72,1769.0,V
2025-01-06 20:25:00+00:00,312.725,313.005,312.7,312.965,2452.0,V
2025-01-06 20:30:00+00:00,312.99,313.25,312.96,313.045,2597.0,V
2025-01-06 20:35:00+00:00,313.12,313.28,313.055,313.07,3885.0,V
2025-01-06 20:40:00+00:00,313.07,313.07,312.69,312.785,4037.0,V
2025-01-06 20:45:00+00:00,312.79,312.82,312.45,312.54,4558.0,V
2025-01-06 20:50:00+00:00,312.51,313.055,312.51,312.78,6663.0,V
2025-01-06 20:55:00+00:00,312.845,313.24,312.735,312.81,15200.0,V
2025-01-07 14:30:00+00:00,313.03,313.91,312.865,313.545,3640.0,V
2025-01-07 14:35:00+00:00,313.81,314.26,313.795,314.13,1204.0,V
2025-01-07 14:40:00+00:00,314.18,314.44,314.04,314.05,759.0,V
2025-01-07 14:45:00+00:00,314.04,314.345,313.41,313.41,1328.0,V
2025-01-07 14:50:00+00:00,313.25,313.73,313.155,313.73,958.0,V
2025-01-07 14:55:00+00:00,313.72,313.99,313.53,313.875,2529.0,V
2025-01-07 15:00:00+00:00,313.8,313.85,313.01,313.25,4572.0,V
2025-01-07 15:05:00+00:00,313.25,313.3,312.455,312.58,805.0,V
2025-01-07 15:10:00+00:00,312.41,312.605,312.21,312.28,1567.0,V
2025-01-07 15:15:00+00:00,312.29,312.47,312.15,312.47,1840.0,V
2025-01-07 15:20:00+00:00,312.51,313.415,312.51,313.32,2056.0,V
2025-01-07 15:25:00+00:00,313.34,314.08,313.34,313.85,2367.0,V
2025-01-07 15:30:00+00:00,313.81,314.19,313.73,314.145,1792.0,V
2025-01-07 15:35:00+00:00,314.22,314.515,313.54,313.65,2620.0,V
2025-01-07 15:40:00+00:00,313.68,313.87,313.66,313.775,1086.0,V
2025-01-07 15:45:00+00:00,313.58,313.67,313.48,313.67,1071.0,V
2025-01-07 15:50:00+00:00,313.64,313.805,313.3,313.655,5042.0,V
2025-01-07 15:55:00+00:00,313.78,314.7,313.72,314.7,4069.0,V
2025-01-07 16:00:00+00:00,314.78,314.92,314.63,314.91,3309.0,V
2025-01-07 16:05:00+00:00,314.91,315.2,314.79,315.04,3790.0,V
2025-01-07 16:10:00+00:00,315.035,315.12,314.36,314.585,3648.0,V
2025-01-07 16:15:00+00:00,314.63,314.775,314.165,314.395,1172.0,V
2025-01-07 16:20:00+00:00,314.395,314.49,313.81,314.07,1350.0,V
2025-01-07 16:25:00+00:00,314.12,314.445,314.055,314.215,1189.0,V
2025-01-07 16:30:00+00:00,314.29,314.415,313.68,313.78,4378.0,V
2025-01-07 16:35:00+00:00,313.59,314.22,313.59,314.22,1150.0,V
2025-01-07 16:40:00+00:00,314.24,314.3,313.965,314.06,627.0,V
2025-01-07 16:45:00+00:00,314.06,314.17,314.01,314.17,925.0,V
2025-01-07 16:50:00+00:00,314.06,314.06,313.45,313.58,1073.0,V
2025-01-07 16:55:00+00:00,313.65,313.65,313.265,313.385,994.0,V
2025-01-07 17:00:00+00:00,313.48,313.68,313.46,313.49,1333.0,V
2025-01-07 17:05:00+00:00,313.52,313.64,313.32,313.355,894.0,V
2025-01-07 17:10:00+00:00,313.36,313.38,313.23,313.31,1194.0,V
2025-01-07 17:15:00+00:00,313.395,313.7,313.395,313.58,2330.0,V
2025-01-07 17:20:00+00:00,313.605,313.61,312.97,312.97,2930.0,V
2025-01-07 17:25:00+00:00,312.96,313.06,312.75,312.91,1052.0,V
2025-01-07 17:30:00+00:00,312.96,313.16,312.96,313.07,2379.0,V
2025-01-07 17:35:00+00:00,313.07,313.07,312.71,312.87,998.0,V
2025-01-07 17:40:00+00:00,312.825,312.93,312.71,312.75,2619.0,V
2025-01-07 17:45:00+00:00,312.74,312.74,312.32,312.36,1937.0,V
2025-01-07 17:50:00+00:00,312.35,312.55,312.15,312.54,2259.0,V
2025-01-07 17:55:00+00:00,312.59,312.92,312.5,312.92,1313.0,V
2025-01-07 18:00:00+00:00,312.91,313.27,312.91,313.01,2907.0,V
2025-01-07 18:05:00+00:00,313.06,313.285,313.06,313.285,856.0,V
2025-01-07 18:10:00+00:00,313.37,313.43,313.13,313.25,1508.0,V
2025-01-07 18:15:00+00:00,313.27,313.38,313.11,313.21,2150.0,V
2025-01-07 18:20:00+00:00,313.21,313.33,313.17,313.225,979.0,V
2025-01-07 18:25:00+00:00,313.225,313.3,313.12,313.17,1920.0,V
2025-01-07 18:30:00+00:00,313.13,313.29,312.91,313.22,1341.0,V
2025-01-07 18:35:00+00:00,313.235,313.255,312.74,312.84,575.0,V
2025-01-07 18:40:00+00:00,312.87,312.89,312.55,312.72,1994.0,V
2025-01-07 18:45:00+00:00,312.76,313.07,312.76,313.035,1456.0,V
2025-01-07 18:50:00+00:00,313.07,313.165,312.95,313.13,1899.0,V
2025-01-07 18:55:00+00:00,313.17,313.21,313.06,313.17,1078.0,V
2025-01-07 19:00:00+00:00,313.125,313.36,313.06,313.315,1399.0,V
2025-01-07 19:05:00+00:00,313.33,313.43,313.27,313.39,1933.0,V
2025-01-07 19:10:00+00:00,313.43,313.52,312.88,312.88,3376.0,V
2025-01-07 19:15:00+00:00,312.88,312.95,312.81,312.85,3849.0,V
2025-01-07 19:20:00+00:00,312.86,312.925,312.775,312.81,2469.0,V
2025-01-07 19:25:00+00:00,312.875,313.08,312.875,312.995,1076.0,V
2025-01-07 19:30:00+00:00,312.95,312.95,312.48,312.535,1992.0,V
