date,open,high,low,close,volume,symbol
2025-01-06 16:40:00+00:00,352.53,352.66,352.23,352.23,1388.0,ACN
2025-01-06 16:45:00+00:00,352.275,352.74,352.125,352.66,1297.0,ACN
2025-01-06 16:50:00+00:00,352.82,353.05,352.755,353.05,871.0,ACN
2025-01-06 16:55:00+00:00,353.025,353.22,353.025,353.22,201.0,ACN
2025-01-06 17:00:00+00:00,353.19,353.41,353.055,353.375,204.0,ACN
2025-01-06 17:05:00+00:00,353.36,353.47,353.26,353.35,471.0,ACN
2025-01-06 17:10:00+00:00,353.315,353.315,353.04,353.04,282.0,ACN
2025-01-06 17:15:00+00:00,353.095,353.15,353.095,353.115,227.0,ACN
2025-01-06 17:20:00+00:00,353.12,353.16,352.905,352.98,1019.0,ACN
2025-01-06 17:25:00+00:00,352.99,353.18,352.61,352.61,473.0,ACN
2025-01-06 17:30:00+00:00,352.82,352.885,352.79,352.81,152.0,ACN
2025-01-06 17:35:00+00:00,352.82,353.01,352.82,352.94,287.0,ACN
2025-01-06 17:40:00+00:00,352.94,352.94,352.52,352.595,60.0,ACN
2025-01-06 17:45:00+00:00,352.595,352.83,352.58,352.735,315.0,ACN
2025-01-06 17:50:00+00:00,352.735,352.88,352.565,352.73,1552.0,ACN
2025-01-06 17:55:00+00:00,352.43,352.43,352.3,352.3,19.0,ACN
2025-01-06 18:00:00+00:00,352.55,352.55,352.04,352.285,875.0,ACN
2025-01-06 18:05:00+00:00,352.1,352.1,351.71,351.89,265.0,ACN
2025-01-06 18:10:00+00:00,351.905,352.13,351.905,352.13,70.0,ACN
2025-01-06 18:15:00+00:00,352.095,352.315,352.095,352.315,410.0,ACN
2025-01-06 18:20:00+00:00,352.315,352.315,351.885,351.885,906.0,ACN
2025-01-06 18:25:00+00:00,351.8,352.03,351.795,351.83,401.0,ACN
2025-01-06 18:30:00+00:00,351.83,351.89,351.63,351.64,651.0,ACN
2025-01-06 18:35:00+00:00,351.64,351.76,351.64,351.76,252.0,ACN
2025-01-06 18:40:00+00:00,351.56,351.56,351.345,351.405,244.0,ACN
